seed,goal_reached,path_length,nodes,loops,time
46782,1,29,171,167,0.00017523765563964844
46783,1,29,178,178,0.00018668174743652344
46785,1,29,180,180,0.00018310546875
46786,1,29,178,177,0.00018739700317382812
46787,1,29,180,180,0.00018525123596191406
46788,1,29,180,180,0.0001850128173828125
46789,1,29,180,180,0.0001857280731201172
46790,1,29,180,179,0.0001862049102783203
46791,1,29,180,180,0.00018286705017089844
46794,1,29,179,179,0.00018644332885742188
46795,1,29,174,174,0.0001773834228515625
46798,1,29,179,177,0.0001773834228515625
46799,1,29,173,173,0.00018286705017089844
46800,1,29,175,175,0.00017762184143066406
46802,1,29,175,173,0.0001742839813232422
46803,1,29,180,180,0.0001919269561767578
46804,1,29,180,180,0.0001862049102783203
46805,1,29,179,178,0.00018143653869628906
46806,1,29,177,177,0.00018477439880371094
46807,1,29,179,179,0.00018286705017089844
46808,1,29,173,172,0.00017762184143066406
46809,1,29,177,176,0.00018525123596191406
46810,1,29,177,177,0.0001785755157470703
46811,1,29,179,179,0.0001838207244873047
46815,1,29,178,177,0.00017881393432617188
46816,1,29,180,180,0.0001857280731201172
46817,1,29,179,178,0.00018143653869628906
46818,1,29,177,177,0.00019073486328125
46822,1,29,180,180,0.00018358230590820312
46824,1,29,180,180,0.00018167495727539062
46825,1,29,180,180,0.0001842975616455078
46826,1,29,180,180,0.00018310546875
46827,1,33,177,175,0.00018477439880371094
46828,1,29,176,176,0.00018262863159179688
46829,1,29,178,177,0.00018215179443359375
46830,1,29,174,174,0.0001773834228515625
